// --------------------------------------------------------------------------
// Licensed Materials - Property of IBM
//
// 5725-A06 5725-A29 5724-Y48 5724-Y49 5724-Y54 5724-Y55
// Copyright IBM Corporation 1998, 2013. All Rights Reserved.
//
// Note to U.S. Government Users Restricted Rights:
// Use, duplication or disclosure restricted by GSA ADP Schedule
// Contract with IBM Corp.
// --------------------------------------------------------------------------

nbMachines = 5;

nbJobs = 20;

duration = [
		[5,7,6,5,6], 
		[3,4,3,3,4],
		[2,4,3,2,3],
		[3,6,4,3,4], 
		[2,4,3,2,2],
		[1,3,2,2,2],
		[1,2,1,1,1],
		[2,5,4,3,3],
		[4,6,6,5,5], 
		[2,5,3,2,3],
		[2,3,2,2,2],
		[2,6,4,3,3],
		[1,3,3,2,2],
		[2,5,5,2,3],
		[4,7,6,4,5],
		[2,4,3,2,3],
		[3,6,4,3,4], 
		[2,4,3,2,2],
		[1,3,2,2,2],
		[1,2,1,1,1]
			];

cost = [
        [10,6,8,9,9],
        [8,5,6,7,7],
        [12,7,10,11,10],
        [10,6,8,9,8],
        [8,5,6,7,7],
        [12,7,10,11,10],
        [12,10,11,12,11],
        [9,5,7,9,8],
        [10,6,8,9,8],
        [8,5,6,7,6],
        [15,9,12,14,13],
        [13,7,10,12,11]
        [9,5,6,8,7],
        [10,6,8,10,9],
        [8,5,6,7,7],
        [9,5,7,9,8],
        [10,6,8,9,8],
        [8,5,6,7,6],
        [15,9,12,14,13],
        [13,7,10,12,11]
                ];
	
release = [2,3,4,5,10,1,2,4,10,1,5,2,4,6,2,2,3,7,6,0];

due = [33,34,31,33,34,34,33,25,38,37,30,20,32,20,25,34,37,38,32,30];
