// --------------------------------------------------------------------------
// Licensed Materials - Property of IBM
//
// 5725-A06 5725-A29 5724-Y48 5724-Y49 5724-Y54 5724-Y55
// Copyright IBM Corporation 1998, 2015. All Rights Reserved.
//
// Note to U.S. Government Users Restricted Rights:
// Use, duplication or disclosure restricted by GSA ADP Schedule
// Contract with IBM Corp.
// --------------------------------------------------------------------------

 parameters =
 <   8,  // max #legs = 8 
   600,  // 8h max work time
   490,  // 6h30 max flying time
   100,  // min pay
   1.11,  // work pay rate
   2.22   // in-flight pay rate
 >;
 
 
flights =
{
 <HNL_OGG_302,HNL,OGG,315,349>,
<HNL_ITO_40,HNL,ITO,320,369>,
<HNL_KOA_80,HNL,KOA,320,361>,
<HNL_LIH_201,HNL,LIH,330,365>,
<HNL_LIH_205,HNL,LIH,370,406>,
<OGG_HNL_33,OGG,HNL,372,405>,
<HNL_KOA_82,HNL,KOA,380,420>,
<HNL_OGG_110,HNL,OGG,380,415>,
<HNL_ITO_404,HNL,ITO,385,434>,
<KOA_HNL_81,KOA,HNL,385,424>,
<LIH_HNL_272,LIH,HNL,390,420>,
<ITO_HNL_41,ITO,HNL,392,440>,
<HNL_LIH_33,HNL,LIH,430,465>,
<LIH_HNL_266,LIH,HNL,430,459>,
<HNL_OGG_60,HNL,OGG,435,470>,
<OGG_HNL_101,OGG,HNL,440,472>,
<KOA_HNL_85,KOA,HNL,445,485>,
<HNL_ITO_42,HNL,ITO,450,499>,
<HNL_LIH_211,HNL,LIH,450,486>,
<HNL_OGG_272,HNL,OGG,450,485>,
<ITO_HNL_31,ITO,HNL,460,508>,
<HNL_KOA_36,HNL,KOA,465,505>,
<HNL_OGG_204,HNL,OGG,465,499>,
<HNL_ITO_108,HNL,ITO,470,519>,
<HNL_OGG_266,HNL,OGG,485,520>,
<LIH_HNL_34,LIH,HNL,485,514>,
<OGG_HNL_273,OGG,HNL,495,527>,
<HNL_ITO_44,HNL,ITO,500,549>,
<HNL_LIH_85,HNL,LIH,510,546>,
<LIH_HNL_206,LIH,HNL,510,539>,
<OGG_ITO_272,OGG,ITO,510,543>,
<ITO_OGG_91,ITO,OGG,525,560>,
<OGG_KOA_204,OGG,KOA,525,553>,
<KOA_HNL_37,KOA,HNL,530,570>,
<HNL_LIH_31,HNL,LIH,535,570>,
<HNL_OGG_34,HNL,OGG,540,574>,
<ITO_HNL_43,ITO,HNL,542,590>,
<OGG_HNL_275,OGG,HNL,543,575>,
<HNL_KOA_288,HNL,KOA,555,596>,
<HNL_LIH_105,HNL,LIH,560,596>,
<HNL_OGG_206,HNL,OGG,565,599>,
<ITO_HNL_45,ITO,HNL,568,615>,
<ITO_KOA_29,ITO,KOA,570,596>,
<LIH_HNL_208,LIH,HNL,570,599>,
<KOA_HNL_103,KOA,HNL,580,619>,
<OGG_HNL_91,OGG,HNL,590,622>,
<HNL_OGG_70,HNL,OGG,595,629>,
<LIH_HNL_90,LIH,HNL,595,625>,
<HNL_LIH_275,HNL,LIH,600,636>,
<OGG_LIH_61,OGG,LIH,600,645>,
<HNL_KOA_104,HNL,KOA,615,655>,
<KOA_HNL_231,KOA,HNL,620,659>,
<LIH_HNL_216,LIH,HNL,620,650>,
<OGG_HNL_207,OGG,HNL,623,655>,
<HNL_OGG_208,HNL,OGG,625,660>,
<KOA_OGG_29,KOA,OGG,625,654>,
<HNL_ITO_246,HNL,ITO,640,689>,
<HNL_LIH_103,HNL,LIH,645,681>,
<HNL_OGG_72,HNL,OGG,650,685>,
<HNL_KOA_90,HNL,KOA,650,690>,
<OGG_HNL_73,OGG,HNL,653,685>,
<LIH_OGG_30,LIH,OGG,670,712>,
<LIH_HNL_262,LIH,HNL,670,700>,
<HNL_KOA_216,HNL,KOA,675,715>,
<OGG_HNL_29,OGG,HNL,678,710>,
<HNL_LIH_207,HNL,LIH,680,716>,
<KOA_HNL_109,KOA,HNL,680,720>,
<HNL_OGG_28,HNL,OGG,690,725>,
<OGG_HNL_209,OGG,HNL,693,725>,
<LIH_HNL_88,LIH,HNL,705,734>,
<HNL_LIH_73,HNL,LIH,710,746>,
<OGG_HNL_71,OGG,HNL,710,742>,
<ITO_HNL_247,ITO,HNL,713,760>,
<KOA_HNL_95,KOA,HNL,715,755>,
<HNL_OGG_262,HNL,OGG,725,759>,
<HNL_ITO_290,HNL,ITO,735,784>,
<KOA_HNL_83,KOA,HNL,740,780>,
<LIH_HNL_248,LIH,HNL,740,769>,
