// --------------------------------------------------------------------------
// Licensed Materials - Property of IBM
//
// 5725-A06 5725-A29 5724-Y48 5724-Y49 5724-Y54 5724-Y55
// Copyright IBM Corporation 1998, 2015. All Rights Reserved.
//
// Note to U.S. Government Users Restricted Rights:
// Use, duplication or disclosure restricted by GSA ADP Schedule
// Contract with IBM Corp.
// --------------------------------------------------------------------------

pairingLegs = {
  <0, 1, 1> 
  ,<0, 2, 6> 
  ,<0, 3, 13> 
  ,<0, 4, 26> 
  ,<1, 1, 1> 
  ,<1, 2, 6> 
  ,<1, 3, 15> 
  ,<1, 4, 27> 
  ,<2, 1, 1> 
  ,<2, 2, 6> 
  ,<2, 3, 20> 
  ,<2, 4, 27> 
  ,<3, 1, 2> 
  ,<3, 2, 12> 
  ,<3, 3, 22> 
  ,<3, 4, 34> 
  ,<4, 1, 2> 
  ,<4, 2, 12> 
  ,<4, 3, 24> 
  ,<4, 4, 37> 
  ,<5, 1, 2> 
  ,<5, 2, 12> 
  ,<5, 3, 23> 
  ,<5, 4, 38> 
  ,<6, 1, 3> 
  ,<6, 2, 10> 
  ,<6, 3, 18> 
  ,<6, 4, 37> 
  ,<7, 1, 3> 
  ,<7, 2, 10> 
  ,<7, 3, 19> 
  ,<7, 4, 30> 
  ,<8, 1, 3> 
  ,<8, 2, 10> 
  ,<8, 3, 20> 
  ,<8, 4, 27> 
  ,<9, 1, 4> 
  ,<9, 2, 11> 
  ,<9, 3, 18> 
  ,<9, 4, 37> 
  ,<10, 1, 4> 
  ,<10, 2, 11> 
  ,<10, 3, 19> 
  ,<10, 4, 30> 
  ,<11, 1, 4> 
  ,<11, 2, 11> 
  ,<11, 3, 20> 
  ,<11, 4, 27> 
  ,<12, 1, 5> 
  ,<12, 2, 14> 
  ,<12, 3, 28> 
  ,<12, 4, 43> 
  ,<12, 5, 52> 
  ,<13, 1, 5> 
  ,<13, 2, 14> 
  ,<13, 3, 25> 
  ,<13, 4, 38> 
  ,<14, 1, 5> 
  ,<14, 2, 14> 
  ,<14, 3, 29> 
  ,<14, 4, 44> 
  ,<15, 1, 1> 
  ,<15, 2, 6> 
  ,<15, 3, 13> 
  ,<15, 4, 26> 
  ,<15, 5, 36> 
  ,<15, 6, 46> 
  ,<15, 7, 60> 
  ,<15, 8, 74> 
  ,<16, 1, 1> 
  ,<16, 2, 6> 
  ,<16, 3, 13> 
  ,<16, 4, 26> 
  ,<16, 5, 35> 
  ,<16, 6, 48> 
  ,<16, 7, 60> 
  ,<16, 8, 74> 
  ,<17, 1, 6> 
  ,<17, 2, 20> 
  ,<17, 3, 27> 
  ,<17, 4, 40> 
  ,<17, 5, 53> 
  ,<17, 6, 71> 
  ,<17, 7, 84> 
  ,<17, 8, 99> 
  ,<18, 1, 7> 
  ,<18, 2, 17> 
  ,<18, 3, 36> 
  ,<18, 4, 50> 
  ,<18, 5, 63> 
  ,<19, 1, 7> 
  ,<19, 2, 17> 
  ,<19, 3, 29> 
  ,<19, 4, 44> 
  ,<20, 1, 7> 
  ,<20, 2, 17> 
  ,<20, 3, 35> 
  ,<20, 4, 48> 
  ,<21, 1, 8> 
  ,<21, 2, 16> 
  ,<21, 3, 29> 
  ,<21, 4, 48> 
  ,<22, 1, 8> 
  ,<22, 2, 16> 
  ,<22, 3, 29> 
  ,<22, 4, 48> 
  ,<23, 1, 8> 
  ,<23, 2, 16> 
  ,<23, 3, 29> 
  ,<23, 4, 44> 
  ,<23, 5, 58> 
  ,<23, 6, 78> 
  ,<24, 1, 9> 
  ,<24, 2, 21> 
  ,<24, 3, 35> 
  ,<24, 4, 48> 
  ,<24, 5, 58> 
  ,<24, 6, 70> 
  ,<24, 7, 82> 
  ,<24, 8, 100> 
  ,<25, 1, 9> 
  ,<25, 2, 21> 
  ,<25, 3, 35> 
  ,<25, 4, 48> 
  ,<25, 5, 58> 
  ,<25, 6, 70> 
  ,<25, 7, 82> 
  ,<25, 8, 100> 
  ,<26, 1, 9> 
  ,<26, 2, 21> 
  ,<26, 3, 35> 
  ,<26, 4, 48> 
  ,<26, 5, 58> 
  ,<26, 6, 70> 
  ,<26, 7, 87> 
  ,<26, 8, 100> 
  ,<27, 1, 10> 
  ,<27, 2, 23> 
  ,<27, 3, 33> 
  ,<28, 1, 10> 
  ,<28, 2, 20> 
  ,<28, 3, 33> 
  ,<29, 1, 3> 
  ,<29, 2, 10> 
  ,<29, 3, 18> 
  ,<29, 4, 32> 
  ,<29, 5, 46> 
  ,<30, 1, 11> 
  ,<30, 2, 24> 
  ,<30, 3, 43> 
  ,<30, 4, 52> 
  ,<30, 5, 66> 
  ,<31, 1, 11> 
  ,<31, 2, 24> 
  ,<31, 3, 43> 
  ,<31, 4, 52> 
  ,<31, 5, 71> 
  ,<32, 1, 11> 
  ,<32, 2, 20> 
  ,<32, 3, 33> 
  ,<32, 4, 45> 
  ,<32, 5, 57> 
  ,<32, 6, 73> 
  ,<32, 7, 85> 
  ,<32, 8, 104> 
  ,<33, 1, 12> 
  ,<33, 2, 23> 
  ,<33, 3, 31> 
  ,<34, 1, 2> 
  ,<34, 2, 12> 
  ,<34, 3, 23> 
  ,<34, 4, 31> 
  ,<34, 5, 42> 
  ,<35, 1, 2> 
  ,<35, 2, 12> 
  ,<35, 3, 24> 
  ,<35, 4, 42> 
  ,<36, 1, 6> 
  ,<36, 2, 13> 
  ,<36, 3, 30> 
  ,<36, 4, 47> 
  ,<36, 5, 65> 
  ,<36, 6, 83> 
  ,<36, 7, 95> 
  ,<36, 8, 105> 
  ,<37, 1, 13> 
  ,<37, 2, 30> 
  ,<37, 3, 41> 
  ,<37, 4, 61> 
  ,<37, 5, 79> 
  ,<37, 6, 90> 
  ,<37, 7, 104> 
  ,<37, 8, 123> 
  ,<38, 1, 13> 
  ,<38, 2, 26> 
  ,<38, 3, 41> 
  ,<38, 4, 61> 
  ,<38, 5, 79> 
  ,<38, 6, 90> 
  ,<38, 7, 104> 
  ,<38, 8, 123> 
  ,<39, 1, 5> 
  ,<39, 2, 14> 
  ,<39, 3, 25> 
  ,<39, 4, 38> 
  ,<39, 5, 51> 
  ,<39, 6, 74> 
  ,<39, 7, 93> 
  ,<39, 8, 111> 
  ,<40, 1, 5> 
  ,<40, 2, 14> 
  ,<40, 3, 28> 
  ,<40, 4, 42> 
  ,<40, 5, 57> 
  ,<40, 6, 73> 
  ,<40, 7, 93> 
  ,<40, 8, 111> 
  ,<41, 1, 5> 
  ,<41, 2, 14> 
  ,<41, 3, 29> 
  ,<41, 4, 44> 
  ,<41, 5, 57> 
  ,<41, 6, 73> 
  ,<41, 7, 93> 
  ,<41, 8, 111> 
  ,<42, 1, 15> 
  ,<42, 2, 33> 
  ,<42, 3, 45> 
  ,<43, 1, 15> 
  ,<43, 2, 31> 
  ,<43, 3, 43> 
  ,<43, 4, 52> 
  ,<43, 5, 68> 
  ,<43, 6, 86> 
  ,<43, 7, 99> 
  ,<43, 8, 117> 
  ,<44, 1, 1> 
  ,<44, 2, 6> 
  ,<44, 3, 15> 
  ,<44, 4, 33> 
  ,<44, 5, 45> 
  ,<45, 1, 8> 
  ,<45, 2, 16> 
  ,<45, 3, 28> 
  ,<45, 4, 42> 
  ,<46, 1, 8> 
  ,<46, 2, 16> 
  ,<46, 3, 28> 
  ,<46, 4, 42> 
  ,<47, 1, 8> 
  ,<47, 2, 16> 
  ,<47, 3, 29> 
  ,<47, 4, 48> 
  ,<48, 1, 17> 
  ,<48, 2, 36> 
  ,<48, 3, 50> 
  ,<48, 4, 70> 
  ,<48, 5, 87> 
  ,<49, 1, 7> 
  ,<49, 2, 17> 
  ,<49, 3, 29> 
  ,<49, 4, 44> 
  ,<49, 5, 57> 
  ,<49, 6, 73> 
  ,<50, 1, 7> 
  ,<50, 2, 17> 
  ,<50, 3, 36> 
  ,<50, 4, 54> 
  ,<50, 5, 71> 
  ,<50, 6, 84> 
  ,<51, 1, 11> 
  ,<51, 2, 18> 
  ,<51, 3, 37> 
  ,<51, 4, 55> 
  ,<51, 5, 72> 
  ,<51, 6, 85> 
  ,<51, 7, 104> 
  ,<52, 1, 11> 
  ,<52, 2, 18> 
  ,<52, 3, 37> 
  ,<52, 4, 55> 
  ,<52, 5, 69> 
  ,<52, 6, 85> 
  ,<52, 7, 104> 
  ,<53, 1, 11> 
  ,<53, 2, 18> 
  ,<53, 3, 37> 
  ,<53, 4, 60> 
  ,<53, 5, 74> 
  ,<53, 6, 85> 
  ,<53, 7, 104> 
  ,<54, 1, 6> 
  ,<54, 2, 19> 
  ,<54, 3, 30> 
  ,<54, 4, 47> 
  ,<55, 1, 1> 
  ,<55, 2, 6> 
  ,<55, 3, 19> 
  ,<55, 4, 30> 
  ,<56, 1, 3> 
  ,<56, 2, 10> 
  ,<56, 3, 19> 
  ,<56, 4, 30> 
  ,<56, 5, 41> 
  ,<56, 6, 54> 
  ,<56, 7, 68> 
  ,<56, 8, 86> 
  ,<57, 1, 20> 
  ,<57, 2, 38> 
  ,<57, 3, 47> 
  ,<57, 4, 61> 
  ,<57, 5, 75> 
  ,<57, 6, 86> 
  ,<57, 7, 97> 
  ,<57, 8, 111> 
  ,<58, 1, 20> 
  ,<58, 2, 38> 
  ,<58, 3, 49> 
  ,<58, 4, 63> 
  ,<58, 5, 75> 
  ,<58, 6, 86> 
  ,<58, 7, 97> 
  ,<58, 8, 111> 
  ,<59, 1, 20> 
  ,<59, 2, 27> 
  ,<59, 3, 41> 
  ,<59, 4, 61> 
  ,<59, 5, 75> 
  ,<59, 6, 86> 
  ,<59, 7, 97> 
  ,<59, 8, 111> 
  ,<60, 1, 9> 
  ,<60, 2, 21> 
  ,<60, 3, 41> 
  ,<60, 4, 61> 
  ,<60, 5, 76> 
  ,<60, 6, 91> 
  ,<61, 1, 21> 
  ,<61, 2, 41> 
  ,<61, 3, 61> 
  ,<61, 4, 76> 
  ,<61, 5, 91> 
  ,<61, 6, 107> 
  ,<62, 1, 9> 
  ,<62, 2, 21> 
  ,<62, 3, 41> 
  ,<62, 4, 54> 
  ,<63, 1, 1> 
  ,<63, 2, 6> 
  ,<63, 3, 22> 
  ,<63, 4, 34> 
  ,<63, 5, 47> 
  ,<63, 6, 61> 
  ,<63, 7, 76> 
  ,<63, 8, 91> 
  ,<64, 1, 10> 
  ,<64, 2, 22> 
  ,<64, 3, 34> 
  ,<64, 4, 55> 
  ,<64, 5, 72> 
  ,<64, 6, 87> 
  ,<65, 1, 2> 
  ,<65, 2, 12> 
  ,<65, 3, 22> 
  ,<65, 4, 34> 
  ,<65, 5, 49> 
  ,<65, 6, 62> 
  ,<65, 7, 81> 
  ,<66, 1, 10> 
  ,<66, 2, 23> 
  ,<66, 3, 33> 
  ,<67, 1, 10> 
  ,<67, 2, 23> 
  ,<67, 3, 33> 
  ,<67, 4, 45> 
  ,<67, 5, 57> 
  ,<67, 6, 73> 
  ,<67, 7, 87> 
  ,<68, 1, 6> 
  ,<68, 2, 23> 
