// --------------------------------------------------------------------------
// Licensed Materials - Property of IBM
//
// 5725-A06 5725-A29 5724-Y48 5724-Y49 5724-Y54 5724-Y55
// Copyright IBM Corporation 1998, 2013. All Rights Reserved.
//
// Note to U.S. Government Users Restricted Rights:
// Use, duplication or disclosure restricted by GSA ADP Schedule
// Contract with IBM Corp.
// --------------------------------------------------------------------------

NbTasks = 122;
NbRsrcs = 4;

Capacity = [ 13, 13, 13, 12 ]; 

Tasks = { 
  < 1, 0, [ 0, 0, 0, 0 ], { 2, 3, 4 } >,
  < 2, 1, [ 0, 0, 3, 0 ], { 5, 6, 29 } >,
  < 3, 5, [ 0, 0, 1, 0 ], { 25 } >,
  < 4, 3, [ 4, 0, 0, 0 ], { 7, 62 } >,
  < 5, 1, [ 9, 0, 0, 0 ], { 8 } >,
  < 6, 4, [ 0, 0, 0, 10 ], { 11, 28, 30 } >,
  < 7, 7, [ 0, 0, 0, 8 ], { 9, 14, 19 } >,
  < 8, 4, [ 0, 0, 0, 5 ], { 10, 12, 15 } >,
  < 9, 9, [ 0, 0, 7, 0 ], { 16, 75, 83 } >,
  < 10, 1, [ 0, 0, 10, 0 ], { 13, 18, 22 } >,
  < 11, 3, [ 0, 0, 0, 8 ], { 54, 100, 101 } >,
  < 12, 2, [ 0, 0, 10, 0 ], { 37, 69 } >,
  < 13, 9, [ 0, 0, 0, 3 ], { 20, 21, 31 } >,
  < 14, 5, [ 0, 0, 7, 0 ], { 23, 32, 38 } >,
  < 15, 2, [ 6, 0, 0, 0 ], { 26 } >,
  < 16, 5, [ 0, 0, 0, 2 ], { 17, 27 } >,
  < 17, 1, [ 0, 0, 0, 4 ], { 24, 47, 60 } >,
  < 18, 2, [ 0, 4, 0, 0 ], { 31 } >,
  < 19, 2, [ 0, 0, 0, 7 ], { 42, 55, 82 } >,
  < 20, 3, [ 0, 0, 0, 6 ], { 43 } >,
  < 21, 8, [ 2, 0, 0, 0 ], { 96 } >,
  < 22, 7, [ 0, 0, 9, 0 ], { 57, 86, 114 } >,
  < 23, 8, [ 4, 0, 0, 0 ], { 35, 96 } >,
  < 24, 6, [ 0, 6, 0, 0 ], { 40, 80 } >,
  < 25, 4, [ 0, 10, 0, 0 ], { 31 } >,
  < 26, 6, [ 0, 0, 0, 10 ], { 45, 70, 112 } >,
  < 27, 5, [ 0, 0, 10, 0 ], { 36, 73 } >,
  < 28, 10, [ 0, 0, 10, 0 ], { 110 } >,
  < 29, 7, [ 5, 0, 0, 0 ], { 74 } >,
  < 30, 8, [ 0, 1, 0, 0 ], { 34, 85 } >,
  < 31, 8, [ 8, 0, 0, 0 ], { 52, 53 } >,
  < 32, 5, [ 0, 0, 3, 0 ], { 33, 39, 49 } >,
  < 33, 4, [ 0, 0, 0, 9 ], { 41 } >,
  < 34, 7, [ 0, 5, 0, 0 ], { 59, 63, 94 } >,
  < 35, 2, [ 0, 0, 7, 0 ], { 44 } >,
  < 36, 6, [ 0, 0, 0, 7 ], { 76, 91 } >,
  < 37, 7, [ 0, 0, 0, 6 ], { 50 } >,
