// --------------------------------------------------------------------------
// Licensed Materials - Property of IBM
//
// 5725-A06 5725-A29 5724-Y48 5724-Y49 5724-Y54 5724-Y55
// Copyright IBM Corporation 1998, 2013. All Rights Reserved.
//
// Note to U.S. Government Users Restricted Rights:
// Use, duplication or disclosure restricted by GSA ADP Schedule
// Contract with IBM Corp.
// --------------------------------------------------------------------------

/******************************************************************************
 * 
 * OPL Data File for Yield Management
 * 
 * Charles H. Rosa
 * 
******************************************************************************/

FlightLegs = {
< 0,   "ABZ", 87,   "AMS", 337, 137>
< 1,   "ABZ", 202,  "NWI", 452, 119>
< 2,   "ABZ", 472,  "SVG", 683, 54>
< 3,   "ABZ", 510,  "AMS", 760, 100>
< 4,   "ABZ", 587,  "BGO", 799, 114>
< 5,   "ABZ", 1165, "SVG", 1376,144>
< 6,   "ABZ", 1511, "NWI", 1761,96>
< 7,   "ABZ", 1550, "AMS", 1761,48>
< 8,   "ABZ", 1781, "SVG", 1992,72>
< 9,   "ABZ", 1858, "AMS", 2069,84>
< 10,  "ABZ", 2127, "NWI", 2377,40>
< 11,  "ABZ", 2204, "SVG", 2416,120>
< 12,  "ABZ", 2628, "AMS", 2878,67>
< 13,  "ABZ", 2743, "NWI", 2993,40>
< 14,  "ABZ", 3013, "SVG", 3224,66>
< 15,  "ABZ", 3051, "AMS", 3301,137>
< 16,  "ABZ", 3128, "BGO", 3340,120>
< 17,  "ABZ", 3706, "SVG", 3917,102>
< 18,  "ABZ", 4052, "NWI", 4302,40>
< 19,  "ABZ", 4091, "AMS", 4302,66>
< 20,  "ABZ", 4322, "SVG", 4533,96>
< 21,  "ABZ", 4399, "AMS", 4610,40>
< 22,  "ABZ", 4668, "NWI", 4918,40>
< 23,  "ABZ", 4745, "SVG", 4957,40>
< 24,  "ABZ", 5130, "AMS", 5380,94>
< 25,  "ABZ", 5554, "AMS", 5804,124>
< 26,  "ABZ", 6593, "AMS", 6766,126>
< 27,  "ABZ", 6863, "AMS", 7036,96>
< 28,  "ABZ", 7440, "AMS", 7613,108>
< 29,  "ABZ", 7748, "AMS", 7998,65>
< 30,  "ABZ", 8403, "SVG", 8614,132>
< 31,  "ABZ", 8788, "BGO", 8999,40>
< 32,  "ABZ", 8788, "AMS", 8999,126>
< 33,  "ABZ", 9019, "SVG", 9230,78>
< 34,  "ABZ", 9096, "AMS", 9307,114>
< 35,  "ABZ", 9365, "NWI", 9615,40>
< 36,  "ABZ", 9442, "SVG", 9654,102>
< 37,  "AMS", 87,   "BHX", 260, 95>
< 38,  "AMS", 125,  "ABZ", 375, 145>
< 39,  "AMS", 356,  "EDI", 606, 108>
< 40,  "AMS", 433,  "BHX", 606, 115>
< 41,  "AMS", 433,  "NWI", 568, 144>
< 42,  "AMS", 472,  "LBA", 645, 40>
< 43,  "AMS", 549,  "ABZ", 799, 81>
< 44,  "AMS", 703,  "EDI", 914, 138>
< 45,  "AMS", 1088, "BHX", 1261,70>
< 46,  "AMS", 1088, "EDI", 1299,96>
< 47,  "AMS", 1088, "NWI", 1222,94>
< 48,  "AMS", 1165, "LBA", 1338,115>
< 49,  "AMS", 1165, "ABZ", 1415,76>
< 50,  "AMS", 1627, "EDI", 1838,132>
< 51,  "AMS", 1742, "NWI", 1877,40>
< 52,  "AMS", 1742, "BHX", 1915,110>
< 53,  "AMS", 1935, "BHX", 2146,42>
< 54,  "AMS", 1935, "EDI", 2185,40>
< 55,  "AMS", 1973, "ABZ", 2223,40>
< 56,  "AMS", 1973, "LBA", 2146,115>
< 57,  "AMS", 2204, "NWI", 2339,114>
< 58,  "AMS", 2358, "BHX", 2493,95>
< 59,  "AMS", 2628, "BHX", 2801,140>
< 60,  "AMS", 2666, "ABZ", 2916,112>
< 61,  "AMS", 2897, "EDI", 3147,95>
< 62,  "AMS", 2974, "BHX", 3147,100>
< 63,  "AMS", 2974, "NWI", 3109,40>
< 64,  "AMS", 3013, "LBA", 3186,90>
< 65,  "AMS", 3090, "ABZ", 3340,142>
< 66,  "AMS", 3244, "EDI", 3455,90>
< 67,  "AMS", 3629, "BHX", 3802,40>
< 68,  "AMS", 3629, "EDI", 3840,84>
< 69,  "AMS", 3629, "NWI", 3763,142>
< 70,  "AMS", 3706, "LBA", 3879,130>
< 71,  "AMS", 3706, "ABZ", 3956,135>
< 72,  "AMS", 4168, "EDI", 4379,90>
< 73,  "AMS", 4283, "NWI", 4418,66>
< 74,  "AMS", 4283, "BHX", 4456,50>
< 75,  "AMS", 4476, "BHX", 4687,40>
< 76,  "AMS", 4476, "EDI", 4726,42>
< 77,  "AMS", 4514, "ABZ", 4764,57>
< 78,  "AMS", 4514, "LBA", 4687,40>
< 79,  "AMS", 4745, "NWI", 4880,92>
< 80,  "AMS", 4899, "BHX", 5034,45>
< 81,  "AMS", 5169, "ABZ", 5419,40>
< 82,  "AMS", 5400, "EDI", 5650,138>
< 83,  "AMS", 5477, "BHX", 5650,40>
< 84,  "AMS", 5477, "NWI", 5611,40>
< 85,  "AMS", 5515, "LBA", 5688,100>
< 86,  "AMS", 5592, "ABZ", 5842,112>
< 87,  "AMS", 6131, "BHX", 6304,130>
< 88,  "AMS", 6131, "EDI", 6343,40>
< 89,  "AMS", 6131, "NWI", 6266,82>
< 90,  "AMS", 6208, "LBA", 6381,120>
< 91,  "AMS", 6208, "ABZ", 6458,123>
< 92,  "AMS", 6478, "EDI", 6651,40>
< 93,  "AMS", 6940, "BHX", 7113,138>
< 94,  "AMS", 6940, "EDI", 7151,59>
< 95,  "AMS", 6978, "NWI", 7074,52>
< 96,  "AMS", 6978, "ABZ", 7190,40>
< 97,  "AMS", 6978, "LBA", 7113,60>
< 98,  "AMS", 7363, "BHX", 7536,45>
< 99,  "AMS", 7402, "ABZ", 7613,137>
< 100, "AMS", 7671, "BHX", 7844,40>
< 101, "AMS", 7671, "NWI", 7806,110>
< 102, "AMS", 7710, "EDI", 7921,84>
< 103, "AMS", 7710, "LBA", 7883,90>
< 104, "AMS", 7787, "ABZ", 8037,78>
< 105, "AMS", 8326, "BHX", 8499,40>
< 106, "AMS", 8326, "EDI", 8537,40>
< 107, "AMS", 8326, "NWI", 8460,74>
< 108, "AMS", 8403, "LBA", 8576,115>
< 109, "AMS", 8403, "ABZ", 8653,102>
< 110, "AMS", 8865, "EDI", 9076,126>
< 111, "AMS", 9173, "BHX", 9384,120>
< 112, "AMS", 9173, "EDI", 9423,68>
< 113, "AMS", 9211, "NWI", 9346,88>
< 114, "AMS", 9211, "ABZ", 9461,90>
< 115, "AMS", 9211, "LBA", 9384,45>
< 116, "AMS", 9596, "BHX", 9731,85>
< 117, "BGO", 895,  "ABZ", 1145,111>
< 118, "BGO", 3436, "ABZ", 3686,129>
< 119, "BGO", 9096, "ABZ", 9346,84>
< 120, "BHX", 48,   "AMS", 221, 80>
< 121, "BHX", 395,  "AMS", 568, 40>
< 122, "BHX", 741,  "AMS", 914, 55>
< 123, "BHX", 1434, "AMS", 1607,40>
< 124, "BHX", 2050, "AMS", 2223,40>
< 125, "BHX", 2243, "AMS", 2416,85>
< 126, "BHX", 2589, "AMS", 2762,75>
< 127, "BHX", 2936, "AMS", 3109,40>
< 128, "BHX", 3282, "AMS", 3455,55>
< 129, "BHX", 3975, "AMS", 4148,110>
< 130, "BHX", 4591, "AMS", 4764,100>
< 131, "BHX", 4784, "AMS", 4957,50>
< 132, "BHX", 5092, "AMS", 5265,105>
< 133, "BHX", 5785, "AMS", 5958,40>
< 134, "BHX", 6478, "AMS", 6612,80>
< 135, "BHX", 7325, "AMS", 7498,50>
< 136, "BHX", 7633, "AMS", 7806,135>
< 137, "BHX", 7979, "AMS", 8152,55>
< 138, "BHX", 8672, "AMS", 8845,40>
< 139, "BHX", 9481, "AMS", 9654,135>
< 140, "DUB", 318,  "EMA", 452, 40>
< 141, "DUB", 780,  "EMA", 914, 98>
< 142, "DUB", 1357, "EMA", 1492,40>
< 143, "DUB", 1819, "EMA", 1954,132>
< 144, "DUB", 2859, "EMA", 2993,80>
